SITE DATA,,,,Identification,,,,,,,,,,,MEASUREMENTS,,,,,,,MISC SAMPLES,,,,,,,SWABS,,,,BLOOD,,,,,,,TEETH,,Notes,,ANESTHESIA,,,,,,Necropsy,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RNAlater (#),,,,PLAIN (#),,,,Aluminum (#),,,,,Teeth,,
Ankarana,"CB, CR, YL",8/2/14,1,Eidolon dupreanum,AND 13,Blue 286 R,,,M,A,,,,,330,22,135.1,66.5,27.9,,,Y,0,2,,0,5,,1,2,2,,600,,,1,2,Y,,N,Heavy wear,"100.1 (10:43); 102.9 (10:51), WATER BATH.","Kept overnight, fed sugar water thoughtout storage period.",,,,,,,,0,,,,,,,,,,,,,,,
Ankarana,"CB, CR, YL",8/2/14,1,Eidolon dupreanum,AND 9,Blue 282 R,,,M,A,,,,,350,19.5,131.3,65.8,26.6,,,Y,0,0,,0,5,,2,2,2,,500,,,1,3,Y,,N,Moderate wear,100.5 (9:18),"Kept overnight, fed sugar water thoughtout storage period.",,,,,,,,0,,,,,,,,,,,,,,,
Ankarana,"CB, CR, YL",8/2/14,2,Hipposideros commersoni,HIP 2,NA,,,M,A,,,,,27,10.86 (measured to end of uropatasion),62.8,23.9,21.8,,,N,0,NA,,NA,NA,,0,0,0,,0,,,0,0,N,,N,NA,NA,"Measured, weighed, released in the netting cave.",,,,,,,,0,,,,,,,,,,,,,,,
Ankarana,"CB, CR, YL",8/2/14,2,Hipposideros commersoni,HIP 3,NA,,,M,A,,,,,20,10.07,65.6,20.8,25.3,,,N,0,NA,,NA,NA,,0,0,0,,0,,,0,0,N,,N,NA,NA,"Measured, weighed, released in the netting cave.",,,,,,,,0,,,,,,,,,,,,,,,
Ankarana,"CB, CR, YL",8/2/14,2,Hipposideros commersoni,HIP 4,NA,,,M,A,,,,,26,9.91,62.9,20.1,31.6,,,N,0,NA,,NA,NA,,0,0,0,,0,,,0,0,N,,N,NA,NA,"Measured, weighed, released in the netting cave.",,,,,,,,0,,,,,,,,,,,,,,,
Ankarana,"CB, CR, YL",8/2/14,2,Hipposideros commersoni,HIP 5,NA,,,F,NL,,,,,20,9,59.7,18.2,22.9,,,N,0,NA,,NA,NA,,0,0,0,,0,,,0,0,N,,N,NA,NA,"Measured, weighed, released in the netting cave.",,,,,,,,0,,,,,,,,,,,,,,,
Ankarana,"CB, CR, YL",8/2/14,2,Hipposideros commersoni,HIP 6,NA,,,F,NL,,,,,27,8.7,64.5,18.6,22.4,,,N,0,NA,,NA,NA,,0,0,0,,0,,,0,0,N,,N,NA,NA,"Measured, weighed, released in the netting cave.",,,,,,,,0,,,,,,,,,,,,,,,
Ankarana,"CB, CR, YL",8/2/14,2,Rousettus madagascariensis,ROU 17,Ears marked with red sharpie,,,F,NL,,,,,60,11.02,74.9,32.9,14.1,,,Y,0,1 (1 frozen),,0,0,,2,2,2,,150,,,1,2,Y,,N,Decrepit,NA,"Processed, fed, and released night of capture; Marked on both ears to preven recapture.",,,,,,,,0,,,,,,,,,,,,,,,
Ankarana,"CB, CR, YL",8/2/14,2,Rousettus madagascariensis,ROU 18,Ears marked with red sharpie,,,F,NL,,,,,60,9.89,70.5,36.1,14.9,,,Y,0,4,,0,0,,1,2,2,,100,,,1,2,Y,,N,Decrepit,NA,"Processed, fed, and released night of capture; Marked on both ears to preven recapture.",,,,,,,,0,,,,,,,,,,,,,,,
Ankarana,"CB, CR, YL",8/2/14,2,Rousettus madagascariensis,ROU 19,Ears marked with red sharpie,,,M,A,,,,,70,10.69,77.9,38.2,9.1,,,Y,0,7 (1 frozen),,0,0,,0,2,2,,200,,,1,2,Y,,N,Heavy wear,NA,"Processed, fed, and released night of capture; Marked on both ears to preven recapture.",,,,,,,,0,,,,,,,,,,,,,,,
Ankarana,"CB, CR, YL",8/2/14,2,Rousettus madagascariensis,ROU 20,Ears marked with red sharpie,,,F,NL,,,,,50,9.17,65.9,31.3,12.9,,,Y,0,6,,0,0,,2,2,2,,100,,,1,2,Y,,N,Young,NA,"Processed, fed, and released night of capture; Marked on both ears to preven recapture.",,,,,,,,0,,,,,,,,,,,,,,,
Ankarana,"CB, CR, YL",8/2/14,2,Rousettus madagascariensis,ROU 21,Ears marked with red sharpie,,,F,NL,,,,,45,9.39,67.3,32.4,14.5,,,Y,0,2,,0,0,,0,2,2,,250,,,1,2,Y,,N,Moderate wear,NA,"Processed, fed, and released night of capture; Marked on both ears to preven recapture.",,,,,,,,0,,,,,,,,,,,,,,,
Ankarana,"CB, CR, YL",8/2/14,2,Rousettus madagascariensis,ROU 22,Ears marked with red sharpie,,,F,NL,,,,,45,9.55,69.1,33.4,12.9,,,Y,0,7,,0,0,,0,2,2,,150,,,1,2,Y,,N,Heavy wear,NA,"Processed, fed, and released night of capture; Marked on both ears to preven recapture.",,,,,,,,0,,,,,,,,,,,,,,,
Ankarana,"CB, CR, YL",8/2/14,2,Rousettus madagascariensis,ROU 23,Ears marked with red sharpie,,,F,NL,,,,,40,9.27,61.6,27,15.3,,,Y,0,2,,0,0,,1,2,2,,100,,,1,2,Y,,N,Moderate wear,NA,"Processed, fed, and released night of capture; Marked on both ears to preven recapture.",,,,,,,,0,,,,,,,,,,,,,,,
Ankarana,"CB, CR, YL",8/2/14,2,Rousettus madagascariensis,ROU 24,Ears marked with red sharpie,,,F,NL,,,,,50,9.15,70.7,30.3,11.5,,,Y,0,2,,0,0,,3,2,2,,100,,,1,2,Y,,N,Young,NA,"Processed, fed, and released night of capture; Marked on both ears to preven recapture.",,,,,,,,0,,,,,,,,,,,,,,,
Ankarana,"CB, CR, YL",8/2/14,2,Rousettus madagascariensis,ROU 25,Ears marked with red sharpie,,,F,NL,,,,,40,8.4,67.1,30.7,13.2,,,Y,0,1,,0,0,,0,2,2,,80,,,1,2,Y,,N,Moderate wear,NA,"Processed, fed, and released night of capture; Marked on both ears to preven recapture.",,,,,,,,0,,,,,,,,,,,,,,,
Ankarana,"CB, CR, YL",8/2/14,2,Rousettus madagascariensis,ROU 26,Ears marked with red sharpie,,,F,NL,,,,,40,9.25,67.9,30.3,11.5,,,Y,0,4,,0,0,,2,2,2,,100,,,1,2,Y,,N,Moderate wear,NA,"Processed, fed, and released night of capture; Marked on both ears to preven recapture.",,,,,,,,0,,,,,,,,,,,,,,,
Ankarana,"CB, CR, YL",8/2/14,2,Rousettus madagascariensis,ROU 27,Ears marked with red sharpie,,,M,A,,,,,55,9.93,71.5,36.8,12.2,,,Y,0,2,,0,0,,0,2,2,,250,,,1,2,Y,,N,Heavy wear,NA,"Processed, fed, and released night of capture; Marked on both ears to preven recapture; C. Brook pricked by blood draw needle, breaking skin.",,,,,,,,0,,,,,,,,,,,,,,,
Ankarana,"CB, CR, YL",8/2/14,2,Rousettus madagascariensis,ROU 28,Ears marked with red sharpie,,,F,NL,,,,,40,9.68,66.9,30.9,13.5,,,Y,0,4 (1 frozen),,0,0,,0,2,2,,100,,,1,2,Y,,N,Young,NA,"Processed, fed, and released night of capture; Marked on both ears to preven recapture.",,,,,,,,0,,,,,,,,,,,,,,,
Ankarana,"CB, CR, YL",8/2/14,2,Rousettus madagascariensis,ROU 29,Ears marked with red sharpie,,,M,A,,,,,65,10.09,70.2,34.1,11.3,,,Y,0,7,,0,0,,0,2,2,,100,,,1,3,Y,,N,Young,NA,"Processed, fed, and released night of capture; Marked on both ears to preven recapture.",,,,,,,,0,,,,,,,,,,,,,,,
Ankarana,"CB, CR, YL",8/2/14,2,Rousettus madagascariensis,ROU 30,Ears marked with red sharpie,,,M,A,,,,,46,9.85,68.3,33.7,12.2,,,Y,0,6,,0,0,,0,2,2,,100,,,1,3,Y,,N,Moderate wear,NA,"Processed, fed, and released night of capture; Marked on both ears to preven recapture.",,,,,,,,0,,,,,,,,,,,,,,,
Ankarana,"CB, CR, YL",8/3/14,2,Eidolon dupreanum,AND 14,Blue 287 L,,,F,NL,,,,,340,21.2,130.5,58.2,25.9,,,Y,0,8,,0,0,,"4 (2 swabs + 1 BSA/PBS vial for VI, 1 megmax vial)",2,2,,500,,,1,2,Y,,Y,"Decrepit (look young, but very worn)","100.6 (9:31); 99.7 (9:41); 99.1 (9:57); 100.5 (10:07); 101.3 (10:17); 101.0 (10:20), WATER BATH.","Pregnant female; old lesion observed on back; Y. Li pricked by urine extraction needle; tip of extracted premolar, but still good condition for analysis; fed with sugar water after processing. ",,Y,0.025,0.25cc,50,"9:32 start anesthesia, halothane at 4%, oxygen at 0.7; LA-200 and Metacam administered at 9:42; anesthesia off at 9:46; on at 9:59; off at 10:01; on at 10:05; off at 10:08; on at 10:11; off at 10:13; on at 10:16; anesthesia off at 10:17. ",,0,,,,,,,,,,,,,,,
Ankarana,"CB, CR, YL",8/3/14,2,Eidolon dupreanum,AND 15,Recapture from Steve Goodman: Silver 281,Y - from Steve Goodman,,M,A,,,,,310,19.3,129.5,62.9,28.1,,,Y,0,1,,0,0,,2,2,2,,900,,,1,3,Y,,N,Moderate wear,98.1 (10:31); 101.6 (10:41).,Recapture from Steve Goodman; fed before and after processing.,,,,,,,,0,,,,,,,,,,,,,,,
Ankarana,"CB, CR, YL",8/3/14,2,Eidolon dupreanum,AND 16,Blue 288 R,,,M,A,,,,,350,20.5,135.3,66.6,26.3,,,Y,0,1,,0,4,,1,2,2,,600,,,1,2,Y,,N,Moderate wear,"103.2 (10:56), WATER BATH; 99.6 (11:09).",Fed with sugar water before and after processing.,,,,,,,,0,,,,,,,,,,,,,,,
Ankarana,"CB, CR, YL",8/3/14,2,Eidolon dupreanum,AND 17,Blue 289 R,,,M,A,,,,,305,21,135.6,63.5,25.8,,,Y,0,3,,1 (tick perhaps),6,,2,2,2,,500,,,1,2,Y,,N,Heavy wear,"103.9 (11:17), WATER BATH; 103.1 (11:25), WATER BATH; 101.8, WATER BATH.",Fed with sugar water before and after processing.,,,,,,,,0,,,,,,,,,,,,,,,
Ankarana,"CB, CR, YL",8/3/14,2,Eidolon dupreanum,AND 18,Blue 290 R,,,M,A,,,,,315,17.4,125.3,57.6,30.3,,,Y,0,1,,1 (tick perhaps),0,,2,2,2,,500,,,1,2,Y,,N,Moderate wear,102.8 (11:41); 102.5 (11:45); 102.3 (11:49). ,Fed with sugar water before and after processing.,,,,,,,,0,,,,,,,,,,,,,,,
Ankarana,"CB, CR, YL",8/3/14,2,Eidolon dupreanum,AND 19,Blue 291 R,,,M,A,,,,,315,20.5,120.3,60.9,27.5,,,Y,0,2,,0,6,,2,2,2,,400,,,1,2,Y,,N,Moderate wear,"103.3 (12:04), WATER BATH; 104.7 (12:12), WATER BATH; 102.9 (12:17), WATER BATH.",Fed with sugar water before and after processing.,,,,,,,,0,,,,,,,,,,,,,,,
Ankarana,"CB, CR, YL",8/3/14,3,Eidolon dupreanum,AND 20,Blue 293 L,,,F,NL,,,,,340,21.5,136.3,66.4,35.6,,,Y,0,1,,0,6,,4,2,2,,600,,,1,2,Y,,Y,Moderate wear,100.4 (20:56); 98.9 (21:02); 97.1 (21:20); 97.3 (21:32); 97.9 (22:00); 97.2 (23:07). ,Fed with sugar water before and after processing.,,Y,0.025,0.25cc,120,"20:54 start anesthesia with halothane at 4%, oxygen at 0.7; LA-200 administered at 21:03; Metacam administered at 21:06, anesthesia turned off; anesthesia turned on at 21:12; off at 21:13; on at 21:19; off at 21:22; on at 21:26; off at 21:28; on at 21:31; off at 21:33; on at 21:36; off at 21:37; on at 21:41; off at 21:42; on at 21:45; off at 21:47; on at 21:50; off at 21:51; on at 21:52; off at 21:54; on at 22:00; off at 22:04; on at 22:09; off at 22:12; on at 22:16; off at 22:18; on at 22:23; off at 22:25; on at 22:31; off at 22:32; on at 22:35; off at 22:36; on at 22:39; off at 22:42; on at 22:48; off at 22:50; on at 22:54; off at 22:55; on at 23:02; off at 23:04; on at 23:07; off at 23:08. ",,0,,,,,,,,,,,,,,,
Ankarana,"CB, CR, YL",8/3/14,3,Eidolon dupreanum,AND 21,Blue 293 R,,,M,A,,,,,280,21.6,128.1,66.5,26,,,Y,0,3,,0,1,,0,2,2,,100,,,1,2,Y,,N,Moderate wear,97.6 (23:41).,Fed with sugar water before and after processing.,,,,,,,,0,,,,,,,,,,,,,,,
Ankarana,"CB, CR, YL",8/3/14,3,Eidolon dupreanum,AND 22,Blue 294 R,,,M,A,,,,,275,18.5,130.6,58.8,24.5,,,Y,0,5,,0,1,,0,2,2,,150,,,1,2,Y,,N,Mild wear,97.5 (23:56),Fed with sugar water before and after processing.,,,,,,,,0,,,,,,,,,,,,,,,
Ankarana,"CB, CR, YL",8/3/14,3,Eidolon dupreanum,AND 23,Blue 295 R,,,M,A,,,,,320,22,134.7,64,25.4,,,Y,0,2,,0,0,,0,2,2,,550,,,1,2,Y,,N,Heavy wear,97.7 (0:14),Fed with sugar water before and after processing.,,,,,,,,0,,,,,,,,,,,,,,,
Ankarana,"CB, CR, YL",8/3/14,3,Hipposideros commersoni,HIP 7,NA,,,M,A,,,,,27,9.4,62.5,21.9,25.2,,,N,0,NA,,NA,NA,,0,0,0,,0,,,0,0,N,,N,NA,NA,Measured and released immediately.,,,,,,,,0,,,,,,,,,,,,,,,
Ankarana,"CB, CR, YL",8/3/14,3,Hipposideros commersoni,HIP 8,NA,,,M,A,,,,,16,8.12,56.9,16.5,15.5,,,N,0,NA,,NA,NA,,0,0,0,,0,,,0,0,N,,N,NA,NA,Measured and released immediately.,,,,,,,,0,,,,,,,,,,,,,,,
Ankarana,"CB, CR, YL",8/3/14,3,Eidolon dupreanum,Recapture: AND 10,Blue 283 R,Y - from this sampling,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,See notes on AND 10. Recaptured and released.,,,,,,,,,,,,,,,,,,,,,,,
Ankarana,"CB, CR, YL",8/3/14,3,Rousettus madagascariensis,ROU 31,Ears marked with red sharpie,,,F,NL,,,,,50,9.35,64.9,32.5,14.5,,,Y,0,3,,0,0,,0,2,2,,200,,,1,2,Y,,N,Moderate wear,,"Fed sugar water before release, same night of capture.",,,,,,,,0,,,,,,,,,,,,,,,
Ankarana,"CB, CR, YL",8/3/14,3,Rousettus madagascariensis,ROU 32,Ears marked with red sharpie,,,F,NL,,,,,55,9.86,68.9,34.9,13.2,,,Y,0,5,,0,0,,0,2,2,,30,,,1,2,Y,,N,Moderate wear,,"Picture taken for R. madagascariensis hunter ID card; fed sugar water before release, same night of capture.",,,,,,,,0,,,,,,,,,,,,,,,
Ankarana,"CB, CR, YL",8/3/14,3,Rousettus madagascariensis,ROU 33,Ears marked with red sharpie,,,F,NL,,,,,40,89.9,69.5,28.1,13.5,,,Y,0,2,,0,0,,0,2,2,,100,,,1,2,Y,,N,Mild wear,,"Fed sugar water before release, same night of capture.",,,,,,,,0,,,,,,,,,,,,,,,
Marovitsika,"CB, CR, YL",8/23/14,1,Pteropus rufus,MARO 35,Red 428 R,,,M,A,,,,,445,20.7,151.8,67.6,25.7,,,Y,"2, RNAlater + EtOH",0,,0,0,,0,2,2,,500,,,1,3,Y,,Y,Mild wear,103.5 (13:35); WATER BATH; 101.2 (13:40); 100.6 (13:41); 97.9 (13:46); 97.6 (13:37); 97.2 (14:09),Fed with sugar water after processing,,Y,0.03,0.5,42,"13:34 on at .7 o and 4 Halothane; 13:3 off; 13:36 on; 13:37 lower hal to 2; 13:38 raise to 4; 13:45 off; 13:46 on; 13:49 off; 13:51 on, delivered met and LA-200; 13:53 off; 13:58 on; 13:59 lower to 3; 14:00 off; 14:09 on at 4; 14:08 off",,0,,,,,,,,,,,,,,,
Marovitsika,"CB, CR, YL",8/23/14,1,Pteropus rufus,MARO 36,Red 429 R,,,M,A,,,,,600,23.7,167,82.3,29.1,,,Y,"2, RNAlater + EtOH",0,,0,0,,2,2,2,,600,,,1,2,Y,,Y (2: lower left premolar broken; lower right premolar taken…maybe also broken),Mild wear,98.6 (14:15); 98 (14:24); 97.7 (14:32); 97.7 (14:39); 97.6 (14:47); 97.6 (15:05); 97.3 (15:11); 97.2 (15:40),Fed with sugar water after processing,,Y,0.03,0.5,85,"14:15 on at 4, .7; 14:24 off; 14:31 on, met, LA-200; 14:39 on; 14:41 off; 14:46 on; 14:49 off; 14:51 on; 14:52 off; 14:56 on; 14:59 off; 15:04 on; 15:03 off; 15:11 on; 15:14 off; 15:21 on; 15:25 off; 15:32 on; 15:34 off; 15:39 on; 15:41 off",,0,,,,,,,,,,,,,,,
Marovitsika,"CB, CR, YL",8/23/14,1,Pteropus rufus,MARO 37,Red 430 L,,,F,NL,,,,,670,27,159,74.7,29.9,,,Y,"2, RNAlater + EtOH",0,,0,0,,2,2,2,,600,,,1,2,Y,,Y,Mild wear,98.4 (15:52); 97.8 (16:00); 97.7 (16:07); 97.5 (16:13),Fed with sugar water after processing,,Y,0.03,0.5,50,"15:52: on at 4 and .7, 16;00 off; 16:04 on, deivered met and LA-200; 16:10 off; 16:12 on; 16:15 off; 16:19 on; 16:21 off; 16:24 on; 16:25 off; 16:26 on; 16:28 off; 16:32 on; 16:37 off; 16:40 on; 16:42 off",,0,,,,,,,,,,,,,,,
Marovitsika,"CB, CR, YL",8/23/14,1,Pteropus rufus,MARO 38,Red 431 R,,,M,A,,,,,660,25.5,175,88.1,27.1,,,Y,"2, RNAlater + EtOH",0,,0,0,,1,2,2,,550,,,1,3,Y,,Y,new,"98.9, 100 (19:09 on 23-Aug; kept overnight); 97.4 (7:36); 97 (7:56); 95.8 (8:10)",Fed with sugar water after processing; kept overnight and processed morning after capture day due to time constraints,,Y,0.03,0.5,30,"7:36 on at 4, .7; 7:45 off; 7:55 on, met, LA-200 delivered; 7:58 off; 8:04 on; 8:06 off ",,0,,,,,,,,,,,,,,,
Marovitsika,CB,8/24/14,2,Pteropus rufus,MARO 39,Red 432 L,,,F,NL,,,,,670,24.3,168.1,79.5,32.2,,,Y,"2, RNAlater + EtOH",0,,0,0,,2,2,2,,500,,,1,2,Y,,Y,new,99.3 (8:14); 97.6 (8:23); 97.4 (8:49); 97.5 (8:57),"Fed with sugar water after processing, yearling?, likely pregnant",,Y,0.03,0.5,30,"8:18 anasthesia on at 4, .7; 8:25 off; 8:31 on, lA-200, met delivered; 8:35 off; 8:39 on; 8:42 off; 8:47 on",,0,,,,,,,,,,,,,,,
Marovitsika,CB,8/31/14,3,Pteropus rufus,MARO 40,Red 433 L,,,F,NL,,,,,600,23.6,159,71.2,28.9,,,Y,0,0,,0,0,,2,2,2,,600,,,1,3,Y,,"Y (2: lower left premolar broken, took comlete lower right premolar - intact)",Moderate wear,98 (8:14); 96.6 (8:30); 96.6 (8:50); 96.4 (9:03); 95.8 (9:38); 95.4 (9:58); 95.5 (10:14); 95.2 (10:24),"Fed with sugar water after processing, 3 x before evening release",,Y,0.03,0.5,130,"8:15 on at 4, .7, delivered metacam; 8:51 off; 9:01 on; 9:05 off; 9:11 on; 9:14 off; 9:23 on; 9:27 off; 9:36 on; 9:40 off; 9:45 on; 9:49 off; 9:55 on; 9:58 off; 10:02 on; 10:03 off; 10:13 on; 10:17 off; 10:23 on; 10:25 off ",,0,,,,,,,,,,,,,,,
Marovitsika,CB,9/1/14,4,Pteropus rufus,MARO 41,Red 434 R,,,M,A,,,,,750,25.8,173,94.7,331.1,,,Y,0,0,,0,0,,0,2,2,,500,,,1,4,Y,,Y,Moderate wear,99.6 (7:57); 96.3 (8:10); 94.8 (8:31); 94.4 (8:46); low (8:56): HAND WARMERS; 94.8 (9:01); 95.4 (9:09),,,Y,0.03,0.5,70,"7:57: anaesthesia on at 4, .7; 8:31 off; 8:45 on, LA-200, met; 8:49 off; 9:01 on; 9:05 off",,0,,,,,,,,,,,,,,,
Marovitsika,CB,9/1/14,4,Pteropus rufus,MARO 42,Red 435 R,,,M,A,,,,,420,23.4,149,73.9,34.2,,,Y,0,0,,0,0,,0,2,2,,600,,,1,2,Y,,Y,Mild wear,97.4 (9:37); 97.3 (9:50); 96.3 (9:59); 95.5 (10:08); 95.5 (10:23),"Fed with sugar water after processing, 3 x before evening release. Bit CB during processing.",,Y,0.03,0.5,28,9:32 on; 10:01 off,,0,,,,,,,,,,,,,,,
Marovitsika,CB,9/1/14,4,Pteropus rufus,MARO 43,Red 436 R,,,F,NL,,,,,455,25.2,151,75,24.8,,,Y,0,0,,0,0,,2,2,2,,600,,,1,2,Y,,Y,new,100.3 (10:41); 97.4 (10:59); 96.9 (11:08); 95.7 (11:18); 94.7 (11:29),"Fed with sugar water after processing, 3 x before evening release",,Y,0.03,0.5,36,"10:42: anaesthesia on at 4, .7, metacam, LA-200; 11:09: off",,0,,,,,,,,,,,,,,,
Ambakoana,"CB, CR",9/6/14,1,Pteropus rufus,AMB 35,Red 437 R,,,M,A,,,,,600,24.5,168,85.2,31.9,,,Y,0,0,,0,0,,2,2,2,,600,,,1,2,Y,,Y,new,97.1 (8:36); 96.9 (8:47); 96.7 (8:53); low (9:15); HAND WARMERS; low (9:24); 95.3 (9:43); 97 (9:49),"Fed with sugar water after processing, 3 x before evening release",,Y,0.03,0.5,36,"8:36: anaesthesia on at 4, .7; 8:57: off; 9:14 on, metacam, LA-200; 9:18: off",,0,,,,,,,,,,,,,,,
Ambakoana,"CB, CR",9/8/14,3,Pteropus rufus,AMB 36,Red 438 L,,,F,NL,,,,,600,26.1,172,81.3,35,,,Y,0,0,,0,0,,0,2,2,,500,,,1,2,Y,,Y,Heavy wear,97.7 (7:47); 94.9 (7:58); low (8:06); HAND WARMERS; low (8:13);low (8:20); 94.8 (8:23),"Fed with sugar water after processing, 3 x before evening release. Animal bit CB at capture but did not contact skin.",,Y,0.03,0.5,31,"7:46 on at 4, .7; 7:58: off; 8:03: on; 8:08: off; 8:12: on; 8:17 off",,0,,,,,,,,,,,,,,,
Ambakoana,"CB, CR",9/9/14,4,Pteropus rufus,AMB 37,Red 439 R,,,M,A,,,,,610,23.8,163,80.5,24.9,,,Y,"2, RNAlater + EtOH",0,,0,0,,0,2,2,,600,,,1,2,Y,,Y,Moderate wear,96.5 (8:21); 96 (8:33); 95.1 (8:38); 95.2 (8:51); 94.5 (9:02); low (9:17),"Animal died at 9:25; Fed with sugar water prior to anaesthesia, appears to have drowned. Oxygen also sporadic due to low levels in tank.",,Y,0.03,0.5,18,"8:21: on at 4, .7, metacam, LA-200; 8:39 off;",,"2 spleen, 2 liver, 2 kidney (all in RNAlater + PLAIN), 1 brain in RNAlater only, 1 liver in EtOH",,,,,,,,,,,,,,,
Ambakoana,"CB, CR",9/12/14,7,Pteropus rufus,AMB 38,Red 440 R,,,M,A,,,,,590,27.2,172,88.4,37.9,9.15,11.3,Y,0,0,,0,0,,0,2,2,,600,,,1,2,Y,,Y,Heavy wear,97.5 (8:45); 95.9 (8:56); 95 (9:22); 95.5 (9:27),"Fed with sugar water after processing, 3 x before evening release; animal old, gray hair, blind in one eye",,Y,0.03,0.5,16,"8:47: anaesthesia on at 4, .7, metacam, LA-200; 9:03 off",,0,,,,,,,,,,,,,,,
Maromizaha,"CB, CR",10/3/14,1 (evening),Mormopterus jugularis,LMIZ1,pen mark,,,M,A,,,,,11,5.9,37,11.5,11.5,NA,,N,0,0,,0,0,,0,0,0,,0,,,0,0,,,N,,too small,"was weak and cold, kept overnight, fed, released next day at dusk",,,,,,,,,,,,,,,,,,,,,,,
Maromizaha,"CB, CR",10/3/14,1 (evening),Rousettus madagascariensis,MIZ1,pen mark,,,M,A,,,,,60.5,10.02,72.5,36.9,13.5,16.2,13.8,Y,"2, RNAlater + EtOH",10,,0,1,,2,2,2,,100,,,1,2,Y,,N,Mild,too small,released at night after feeding,,,,,,,,,,,,,,,,,,,,,,,
Maromizaha,"CB, CR",10/3/14,1 (evening),Rousettus madagascariensis,MIZ2,pen mark,,,M,A,,,,,35,8.93,59.5,26.9,11.9,too small,,Y,"2, RNAlater + EtOH",5,,0,5,,0,2,2,,100,,,1,3,Y,,N,New,too small,released at night after feeding,,,,,,,,,,,,,,,,,,,,,,,
Maromizaha,"CB, CR",10/3/14,1 (evening),Rousettus madagascariensis,MIZ3,pen mark,,,M,A,,,,,70,10.7,73.5,31.9,14.9,15.5,11.5,Y,"2, RNAlater + EtOH",14,,0,0,,2,2,2,,200,,,1,2,Y,,N,Moderate,too small,released at night after feeding,,,,,,,,,,,,,,,,,,,,,,,
Maromizaha,"CB, CR",10/3/14,1 (evening),Rousettus madagascariensis,MIZ4,pen mark,,,M,A,,,,,70,10.71,70.6,35.9,13.9,6.2,5.1,Y,"2, RNAlater + EtOH",5 (1 weird),,0,0,,0,2,2,,500,,,1,3,Y,,N,Mild,too small,released at night after feeding,,,,,,,,,,,,,,,,,,,,,,,
Maromizaha,"CB, CR",10/3/14,1 (evening),Rousettus madagascariensis,MIZ5,pen mark,,,M,A,,,,,60,10.35,73.5,30,16,16.5,11.5,Y,"2, RNAlater + EtOH",8,,0,5,,0,2,2,,100,,,1,2,Y,,N,Moderate,too small,released at night after feeding,,,,,,,,,,,,,,,,,,,,,,,
Maromizaha,"CB, CR",10/3/14,1 (evening),Rousettus madagascariensis,MIZ6,pen mark,,,M,A,,,,,70,11.28,71.9,32.5,8.9,5.5,4.1,Y,0,3,,0,2,,0,2,2,,300,,,1,3,Y,,N,New,too small,released at night after feeding; bit guide (Zafison) on hand,,,,,,,,,,,,,,,,,,,,,,,
Maromizaha,"CB, CR",10/3/14,1 (evening),Rousettus madagascariensis,MIZ7,pen mark,,,M,A,,,,,33,9.98,64.4,29.4,9.3,too small,,Y,0,9,,0,2,,0,2,2,,500,,,?,?,Y,,N,Mild,too small,released at night after feeding,,,,,,,,,,,,,,,,,,,,,,,
AngavoBe,"CB,CR",10/4/14,1,Eidolon dupreanum,ANGB42,Blue 296 L,,,M,A,,,,,420,21.1,132.5,60.5,31.1,10.3,8.2,Y,"2, RNAlater + EtOH",4,,0,0,,2,2,2,,200,,,1,2,Y,,Y,Moderate,99.3 (19:48); 99.5 (20:01); 97.9 (20:10); 96.7 (20:20); 96.3 (20:31); 95.5 (20:42); 95.3 (20:49); 94.9 (21:00),fed sugar water and released at dusk,,Y,0.25,0.4,,,,"2 spleen, 2 liver, 2 kidney (all in RNAlater + PLAIN), 1 brain in RNAlater only",,,,,,,,,,,,,,,
Maromizaha,"CB, CR",10/4/14,1 (morning),Rousettus madagascariensis,MIZ10,pen mark,,,M,A,,,,,65,11.9,71.6,36.5,9.5,6.9,3.8,Y,0,8 (1 weird),,0,8,,0,2,2,,400,,,1,3,Y,,N,New,too small,"kept and fed x2 during day, released at dusk the next evening",,,,,,,,,,,,,,,,,,,,,,,
Maromizaha,"CB, CR",10/4/14,1 (morning),Rousettus madagascariensis,MIZ11,pen mark,,,M,A,,,,,68,10,74.5,32.1,12.1,14.5,11.5,Y,0,15,,0,15,,0,2,2,,400,,,1,2,Y,,N,Mild,too small,"kept and fed x2 during day, released at dusk the next evening",,,,,,,,,,,,,,,,,,,,,,,
Maromizaha,"CB, CR",10/4/14,1 (morning),Rousettus madagascariensis,MIZ12,pen mark,,,F,NL,,,,,72,11.55,76,32.8,16.5,4.8,1.8,Y,0,6,,0,many,,2,2,2,,500,,,1,2,Y,,N,Mild,too small,"kept and fed x2 during day, released at dusk the next evening",,,,,,,,,,,,,,,,,,,,,,,
Maromizaha,"CB, CR",10/4/14,1 (morning),Rousettus madagascariensis,MIZ13,pen mark,,,M,A,,,,,65,10.45,72.5,32,12.5,13.5,10.5,Y,0,9,,0,12,,2,2,2,,400,,,1,2,Y,,N,New,too small,"kept and fed x2 during day, released at dusk the next evening",,,,,,,,,,,,,,,,,,,,,,,
